time,lat,lon,U,V
0,-37,142,3.5243568,-0.27572536
6,-37,142,4.98363,4.581916
12,-37,142,0.69308937,5.005233
18,-37,142,-0.79870373,4.013421
24,-37,142,-1.0199003,4.7366896
30,-37,142,-0.66376746,5.1132135
36,-37,142,-2.9628448,3.5515337
42,-37,142,-2.8572693,1.9979582
48,-37,142,-3.995964,1.4898195
54,-37,142,-2.8007574,0.4131329
60,-37,142,-3.0412483,0.6808012
66,-37,142,-2.6394157,-1.4171238
72,-37,142,-1.6445761,-5.4047613
78,-37,142,1.3177054,-2.5243645
84,-37,142,0.6644286,-1.038415
90,-37,142,0.16120255,1.8449965
96,-37,142,0.6689678,-2.0582724
102,-37,142,5.8483467,-2.6894693
108,-37,142,2.0079384,4.6924267
114,-37,142,0.20853311,3.7323408
120,-37,142,0.755174,1.7762337
126,-37,142,3.4199028,2.0268764
132,-37,142,-1.617897,2.1885433
138,-37,142,-1.6646357,-0.7966099
144,-37,142,5.3059406,-0.44640064
150,-37,142,4.864005,3.872219
156,-37,142,0.18572104,2.6290283
162,-37,142,-1.1090851,1.2097368
168,-37,142,1.0819511,-1.6777964
174,-37,142,3.4947634,-1.2514038
180,-37,142,0.6327688,2.2010217
186,-37,142,-0.47713286,1.7418326
192,-37,142,3.311614,3.128067
198,-37,142,4.6352787,1.6799744
204,-37,142,2.771597,3.0622454
210,-37,142,1.7672901,3.1612387
216,-37,142,1.6483412,3.1616926
222,-37,142,2.4020557,2.2155352
228,-37,142,0.5432999,3.2933273
234,-37,142,-0.16724992,2.4992113
240,-37,142,0.55073524,2.369647
246,-37,142,3.1044903,2.9698963
252,-37,142,0.7967253,3.3396835
258,-37,142,-0.15829748,2.5890589
264,-37,142,0.6982464,2.6076202
270,-37,142,3.2948656,4.8211756
276,-37,142,-0.37894356,3.6277056
282,-37,142,-1.7538128,1.7018383
288,-37,142,-3.0848494,0.0193732
294,-37,142,-0.0939157,0.4478355
300,-37,142,-2.0817509,-2.5527134
306,-37,142,0.64250535,-4.772071
312,-37,142,6.0050507,-3.6044493
318,-37,142,6.562501,3.278448
324,-37,142,1.5267282,4.823675
330,-37,142,-1.1389008,4.3933735
336,-37,142,-2.4586353,3.1081676
342,-37,142,-2.0827684,0.9490011
348,-37,142,-2.7861958,0.4715032
354,-37,142,-2.2309513,-1.2955713
360,-37,142,-2.0566654,-4.9296026
366,-37,142,3.1510935,-2.7563448
372,-37,142,1.2242191,0.62079525
378,-37,142,3.365508,0.16335869
384,-37,142,2.169073,3.4787912
390,-37,142,1.6331747,4.965313
396,-37,142,-0.86744404,4.0013866
402,-37,142,-2.7542734,2.1173415
408,-37,142,-3.23623,0.5588495
414,-37,142,-2.226983,-0.38776588
420,-37,142,-2.9631262,0.57232636
426,-37,142,-2.4944267,-1.1245279
432,-37,142,-1.3198929,-5.3005266
438,-37,142,-0.79299545,-5.078354
444,-37,142,-1.7797279,-4.707802
450,-37,142,2.1799853,-4.5611744
456,-37,142,4.107936,-4.084407
462,-37,142,4.612547,6.6731005
468,-37,142,1.7248173,6.1468105
474,-37,142,-0.060807824,6.2289677
480,-37,142,-1.2458344,6.203615
486,-37,142,-2.191042,6.631235
492,-37,142,-2.2532024,4.94322
498,-37,142,-2.4767513,4.1213245
504,-37,142,-3.7310247,4.2692537
510,-37,142,-3.3757057,3.96918
516,-37,142,-3.1604795,2.6288214
