time,lat,lon,U,V
0,-52.00000381,285,7.1961737,0.1480965
6,-52.00000381,285,6.2664967,0.604562
12,-52.00000381,285,5.460903,2.817997
18,-52.00000381,285,4.752881,1.4447
24,-52.00000381,285,6.061986,-0.7185278
30,-52.00000381,285,5.15009,-1.3581905
36,-52.00000381,285,3.9487314,-2.3062782
42,-52.00000381,285,4.0965986,-2.8169975
48,-52.00000381,285,4.649827,-2.220048
54,-52.00000381,285,2.9771557,-2.0384321
60,-52.00000381,285,3.0648537,-2.1775045
66,-52.00000381,285,1.4389181,-1.3668346
72,-52.00000381,285,2.4630518,-2.7509537
78,-52.00000381,285,1.2325096,-5.768922
84,-52.00000381,285,-0.26762486,-8.272859
90,-52.00000381,285,3.3778973,-9.6448
96,-52.00000381,285,4.3009634,-11.083916
102,-52.00000381,285,4.1409693,-10.176511
108,-52.00000381,285,4.127819,-6.4026814
114,-52.00000381,285,4.9386244,-4.4625893
120,-52.00000381,285,3.5010977,-5.34377
126,-52.00000381,285,3.8850307,-8.043335
132,-52.00000381,285,2.5730762,-11.075803
138,-52.00000381,285,4.3342867,-11.836268
144,-52.00000381,285,4.7058516,-10.5429945
150,-52.00000381,285,3.6116524,-9.968737
156,-52.00000381,285,5.2805843,-5.1813335
162,-52.00000381,285,5.6851616,-0.6886463
168,-52.00000381,285,6.705512,-2.2972946
174,-52.00000381,285,7.727705,-3.876769
180,-52.00000381,285,5.886426,-8.859998
186,-52.00000381,285,5.132004,-17.004898
192,-52.00000381,285,6.4589157,-21.370758
198,-52.00000381,285,6.731887,-14.804423
204,-52.00000381,285,6.692666,-11.6307955
210,-52.00000381,285,9.698512,-14.861942
216,-52.00000381,285,13.334606,-15.069455
222,-52.00000381,285,13.710699,-12.67924
228,-52.00000381,285,10.511433,-12.143138
234,-52.00000381,285,3.878829,-15.156167
240,-52.00000381,285,-2.5331287,-18.30098
246,-52.00000381,285,5.452303,-14.774425
252,-52.00000381,285,6.9909773,-9.978602
258,-52.00000381,285,6.118288,-7.153411
264,-52.00000381,285,6.6874514,-7.9259787
270,-52.00000381,285,5.9295874,-10.481929
276,-52.00000381,285,8.183322,-6.1607904
282,-52.00000381,285,8.345661,-7.9246607
288,-52.00000381,285,7.8351955,-7.9619846
294,-52.00000381,285,4.6850853,-15.609437
300,-52.00000381,285,5.3685236,-13.203351
306,-52.00000381,285,8.222275,-6.887127
312,-52.00000381,285,11.5092125,-4.760744
318,-52.00000381,285,10.839528,-9.292178
324,-52.00000381,285,11.089183,-10.108131
330,-52.00000381,285,12.433767,-10.855438
336,-52.00000381,285,12.885384,-6.4640055
342,-52.00000381,285,11.3720455,-4.3597116
348,-52.00000381,285,10.310395,-6.521059
354,-52.00000381,285,9.615494,-7.021633
360,-52.00000381,285,8.158163,-7.358741
366,-52.00000381,285,5.2436314,-7.786168
372,-52.00000381,285,4.328303,-7.30628
378,-52.00000381,285,6.611577,-6.149336
384,-52.00000381,285,9.308142,-2.0592165
390,-52.00000381,285,8.869276,-1.432889
396,-52.00000381,285,8.677665,-1.397912
402,-52.00000381,285,8.961396,-7.2648573
408,-52.00000381,285,8.382579,-8.686616
414,-52.00000381,285,5.2957926,-9.915368
420,-52.00000381,285,3.105917,-11.798634
426,-52.00000381,285,3.714221,-12.260492
432,-52.00000381,285,3.5874653,-10.72322
438,-52.00000381,285,0.7226372,-9.417867
444,-52.00000381,285,-1.2330837,-7.7161455
450,-52.00000381,285,1.8589635,-8.513592
456,-52.00000381,285,3.929902,-9.826274
462,-52.00000381,285,4.8890686,-9.275294
468,-52.00000381,285,7.893442,0.8270466
474,-52.00000381,285,6.968913,-5.6344967
480,-52.00000381,285,5.693698,-7.420706
486,-52.00000381,285,5.611903,-6.4929314
492,-52.00000381,285,5.5119524,-9.1908655
498,-52.00000381,285,7.95393,-7.697254
504,-52.00000381,285,9.159776,-1.2835484
510,-52.00000381,285,10.679038,-3.7931023
516,-52.00000381,285,11.440615,-7.436879
522,-52.00000381,285,14.520196,-9.297615
528,-52.00000381,285,12.852725,-7.1933537
534,-52.00000381,285,12.866106,-6.668971
540,-52.00000381,285,13.637442,-8.285586
546,-52.00000381,285,14.453156,-10.594593
552,-52.00000381,285,13.30508,-12.566065
558,-52.00000381,285,13.22612,-15.703299
564,-52.00000381,285,10.823321,-13.034046
570,-52.00000381,285,8.730325,-4.710326
576,-52.00000381,285,5.7875586,3.243433
582,-52.00000381,285,3.6182947,2.0153198
588,-52.00000381,285,-0.69518393,-0.24821979
594,-52.00000381,285,-2.2202835,0.47328395
600,-52.00000381,285,0.35386086,2.5755882
606,-52.00000381,285,3.7695093,6.486123
612,-52.00000381,285,7.4513073,6.5664845
618,-52.00000381,285,8.47362,5.536518
624,-52.00000381,285,10.126247,2.846383
630,-52.00000381,285,10.895227,1.8858294
636,-52.00000381,285,9.464413,-1.0296059
642,-52.00000381,285,11.5799265,-7.2160025
648,-52.00000381,285,13.305877,-14.02187
654,-52.00000381,285,15.924033,-5.657995
660,-52.00000381,285,12.975812,-4.10194
666,-52.00000381,285,14.048651,-2.6350784
672,-52.00000381,285,13.331376,0.19897872
678,-52.00000381,285,12.698847,-2.5546074
684,-52.00000381,285,7.705496,-9.366251
690,-52.00000381,285,11.958491,-7.415741
696,-52.00000381,285,11.740229,-9.057245
702,-52.00000381,285,11.278571,-6.494793
708,-52.00000381,285,7.9044905,-4.516206
714,-52.00000381,285,8.459932,-3.7890358
720,-52.00000381,285,7.036808,-2.5837088
726,-52.00000381,285,5.736511,-4.0342836
732,-52.00000381,285,9.099452,-5.321163
738,-52.00000381,285,11.82233,-5.994526
744,-52.00000381,285,13.107861,-2.2361393
750,-52.00000381,285,9.732086,-3.396409
756,-52.00000381,285,12.385237,-8.151895
762,-52.00000381,285,14.265918,-13.742702
768,-52.00000381,285,17.163807,-14.795829
774,-52.00000381,285,13.354241,-9.408389
780,-52.00000381,285,12.907747,-4.0273056
786,-52.00000381,285,11.774392,-5.1290445
792,-52.00000381,285,11.800927,-10.303184
798,-52.00000381,285,13.847559,-10.781459
804,-52.00000381,285,11.134425,-2.8299484
810,-52.00000381,285,7.7233143,-0.7735987
816,-52.00000381,285,7.0374727,-2.7816267
822,-52.00000381,285,6.4901466,-5.6288605
828,-52.00000381,285,7.0335026,-7.5363274
834,-52.00000381,285,8.147447,8.435678
840,-52.00000381,285,8.407126,3.4177666
846,-52.00000381,285,10.053206,-1.2781878
852,-52.00000381,285,8.984576,-9.11447
858,-52.00000381,285,10.770199,-8.552365
864,-52.00000381,285,12.290467,-0.30843163
870,-52.00000381,285,11.0433445,4.241647
876,-52.00000381,285,9.801996,1.9199657
882,-52.00000381,285,11.530941,-4.24391
888,-52.00000381,285,12.711733,-4.5723143
894,-52.00000381,285,18.647247,-9.083612
900,-52.00000381,285,14.518042,-10.05944
906,-52.00000381,285,19.021011,-7.490346
912,-52.00000381,285,15.039073,0.1585418
918,-52.00000381,285,13.821254,-0.9017191
924,-52.00000381,285,13.404435,0.86968434
930,-52.00000381,285,10.269763,-1.234088
936,-52.00000381,285,8.540411,-7.3686867
942,-52.00000381,285,7.273224,-1.4531498
948,-52.00000381,285,7.0968027,-2.4836493
954,-52.00000381,285,9.145259,-4.479497
960,-52.00000381,285,9.423384,-7.5033846
966,-52.00000381,285,10.329582,-9.768636
972,-52.00000381,285,8.241862,-11.622845
978,-52.00000381,285,9.971339,-13.3671875
984,-52.00000381,285,8.158264,-14.463376
990,-52.00000381,285,6.814103,-16.985214
996,-52.00000381,285,7.875409,-15.605015
1002,-52.00000381,285,8.556811,-4.2113714
1008,-52.00000381,285,6.9027824,-9.648079
1014,-52.00000381,285,6.6123743,-15.64111
1020,-52.00000381,285,10.082471,-19.146301
1026,-52.00000381,285,11.677011,-7.050906
1032,-52.00000381,285,11.905088,-8.121289
1038,-52.00000381,285,11.22631,-5.391404
1044,-52.00000381,285,8.035479,-5.0407686
1050,-52.00000381,285,9.58526,-2.0599146
1056,-52.00000381,285,9.755119,-2.1110048
1062,-52.00000381,285,9.190381,-4.2247305
1068,-52.00000381,285,9.518257,-3.351081
1074,-52.00000381,285,9.698158,-7.889469
1080,-52.00000381,285,10.2814455,-13.84954
1086,-52.00000381,285,8.496613,-19.089066
1092,-52.00000381,285,6.9973717,-10.805979
1098,-52.00000381,285,7.57448,-7.521119
1104,-52.00000381,285,10.334998,-9.776625
1110,-52.00000381,285,7.9172373,-15.681856
1116,-52.00000381,285,9.860505,-13.137491
1122,-52.00000381,285,12.285097,-4.4358892
1128,-52.00000381,285,11.115601,-2.21175
1134,-52.00000381,285,8.797218,-4.301276
1140,-52.00000381,285,4.350953,-9.288985
1146,-52.00000381,285,-0.14852607,-13.877522
1152,-52.00000381,285,10.505529,-10.236896
1158,-52.00000381,285,8.867068,-10.603129
1164,-52.00000381,285,6.5500765,-18.045303
1170,-52.00000381,285,6.9303513,-14.568818
1176,-52.00000381,285,9.348167,-5.738982
1182,-52.00000381,285,11.889081,-2.009758
1188,-52.00000381,285,9.703891,-3.2950172
1194,-52.00000381,285,8.6433325,-6.878443
1200,-52.00000381,285,6.033022,-11.344583
1206,-52.00000381,285,2.8147392,-16.230377
1212,-52.00000381,285,4.1540422,-19.669586
