time,lat,lon,U,V
0,65,343.0000305,-2.9969435,3.4572258
6,65,343.0000305,2.1936717,4.385333
12,65,343.0000305,4.433072,2.0611477
18,65,343.0000305,4.1572084,2.246067
24,65,343.0000305,4.8725233,1.0812998
30,65,343.0000305,3.2271109,-2.885703
36,65,343.0000305,2.028041,-4.6889524
42,65,343.0000305,1.6522617,-4.2836666
48,65,343.0000305,1.5256462,-4.676796
54,65,343.0000305,1.5779951,-4.715952
60,65,343.0000305,2.7382765,-4.4659014
66,65,343.0000305,3.1382809,-4.8564415
72,65,343.0000305,3.5359097,-4.5078526
78,65,343.0000305,3.611661,-2.877676
84,65,343.0000305,2.884345,-1.0049086
90,65,343.0000305,1.4305139,3.1029415
96,65,343.0000305,-0.9801121,6.2987566
102,65,343.0000305,-1.5342703,12.789835
108,65,343.0000305,7.140457,4.6826077
114,65,343.0000305,8.020713,4.7616215
120,65,343.0000305,8.235364,5.1615725
126,65,343.0000305,5.187931,5.064006
132,65,343.0000305,2.137869,4.088437
138,65,343.0000305,3.8468056,3.8937912
144,65,343.0000305,4.155158,4.1446934
150,65,343.0000305,4.1706095,3.9771736
156,65,343.0000305,3.8190165,3.757629
162,65,343.0000305,1.8110876,2.8710513
168,65,343.0000305,1.3522005,1.926409
174,65,343.0000305,-0.20788574,1.3362281
180,65,343.0000305,-1.330121,-0.5443201
186,65,343.0000305,-1.803894,-1.9314785
192,65,343.0000305,-2.316208,-5.02964
198,65,343.0000305,-3.6609592,-6.9310684
204,65,343.0000305,-1.4862509,-5.09122
210,65,343.0000305,-0.6165209,-4.817219
216,65,343.0000305,0.6732683,-3.091545
222,65,343.0000305,0.5842457,-1.7635641
228,65,343.0000305,1.2365274,-2.5932178
234,65,343.0000305,-2.8871346,-6.227726
240,65,343.0000305,-1.9490614,-5.432473
246,65,343.0000305,-1.0746899,-4.178529
252,65,343.0000305,-1.0503569,-2.632903
258,65,343.0000305,0.30475616,0.06251335
264,65,343.0000305,1.0566721,1.298871
270,65,343.0000305,0.6564083,0.9474144
276,65,343.0000305,0.63923454,1.9398451
282,65,343.0000305,-0.17250729,1.5889816
288,65,343.0000305,-0.7722645,2.2628126
294,65,343.0000305,-1.6214046,2.945568
300,65,343.0000305,-2.4321804,2.9796958
306,65,343.0000305,-3.405774,2.7982266
312,65,343.0000305,-6.1361923,2.1623852
318,65,343.0000305,-6.2267876,2.218752
324,65,343.0000305,-7.8460016,5.199128
330,65,343.0000305,-5.9244823,4.534322
336,65,343.0000305,-2.4577427,3.7927656
342,65,343.0000305,0.7325344,-0.28445435
348,65,343.0000305,4.779377,-1.4529314
354,65,343.0000305,7.0064955,0.8148686
360,65,343.0000305,7.7186947,1.558707
366,65,343.0000305,5.3657694,2.2279148
372,65,343.0000305,4.192795,2.1961117
378,65,343.0000305,3.4998922,2.552166
384,65,343.0000305,2.2577686,2.867795
390,65,343.0000305,2.3947554,5.146985
396,65,343.0000305,2.8941555,5.8003817
402,65,343.0000305,2.2006445,5.6940107
408,65,343.0000305,2.8557463,5.348254
414,65,343.0000305,2.6414108,4.903714
420,65,343.0000305,2.5774736,4.059244
426,65,343.0000305,2.1742616,2.716529
432,65,343.0000305,1.6785709,1.5538961
438,65,343.0000305,0.014767647,-0.6201792
444,65,343.0000305,-1.7104864,0.8426299
450,65,343.0000305,-2.103547,0.02887249
456,65,343.0000305,-1.920371,0.6426172
462,65,343.0000305,-1.0772839,0.6548414
468,65,343.0000305,-0.760129,1.3766451
474,65,343.0000305,0.60075474,1.053175
480,65,343.0000305,-0.050252914,0.091394424
486,65,343.0000305,2.1662493,-0.023020744
492,65,343.0000305,1.1087227,-0.23534393
498,65,343.0000305,1.8249111,-0.6751337
504,65,343.0000305,1.621666,-0.7783928
510,65,343.0000305,1.4350328,-0.9875088
516,65,343.0000305,1.716546,-1.6484289
522,65,343.0000305,2.2662203,-0.4234848
528,65,343.0000305,2.9792664,1.2772751
534,65,343.0000305,4.2539644,2.2482138
540,65,343.0000305,4.091132,0.30732155
546,65,343.0000305,2.7424636,-2.7556162
552,65,343.0000305,2.5167265,-5.358137
558,65,343.0000305,3.4633121,-8.674844
564,65,343.0000305,3.1930513,-9.952177
570,65,343.0000305,0.83699405,-10.488617
576,65,343.0000305,0.6305828,-7.5030518
582,65,343.0000305,1.124136,-6.0567665
588,65,343.0000305,0.9181328,-5.839961
594,65,343.0000305,1.6932108,-5.6564837
600,65,343.0000305,1.8969079,-4.8779984
606,65,343.0000305,3.150649,-2.4487066
612,65,343.0000305,2.930931,-0.8759136
618,65,343.0000305,-0.19473708,-3.5275593
624,65,343.0000305,0.20099545,-5.292698
630,65,343.0000305,0.8485069,-6.2653017
636,65,343.0000305,1.6469841,-6.898507
642,65,343.0000305,1.4282713,-6.883728
648,65,343.0000305,1.6193914,-6.9010897
654,65,343.0000305,0.43397617,-7.2503014
660,65,343.0000305,0.37415504,-5.6200504
666,65,343.0000305,-0.03336525,-3.4974604
672,65,343.0000305,0.30981445,-0.59118366
678,65,343.0000305,2.4228892,2.9782143
684,65,343.0000305,3.7522144,4.1113315
690,65,343.0000305,3.219061,6.683502
696,65,343.0000305,2.911726,3.327386
702,65,343.0000305,0.5035712,-5.463537
708,65,343.0000305,2.0170937,-5.1128035
714,65,343.0000305,2.0838397,-5.1627007
720,65,343.0000305,2.6763358,-4.723768
726,65,343.0000305,3.100511,-2.815462
732,65,343.0000305,4.1998425,0.95291233
738,65,343.0000305,4.299304,2.3542128
744,65,343.0000305,4.99407,1.4701424
750,65,343.0000305,3.620986,0.7397795
756,65,343.0000305,2.7362423,1.6558857
762,65,343.0000305,2.283148,2.2159157
768,65,343.0000305,3.1415567,2.0130186
774,65,343.0000305,3.0205765,0.35784912
780,65,343.0000305,3.7541103,-0.07289028
786,65,343.0000305,4.953455,-0.83615685
792,65,343.0000305,6.286956,-1.195797
798,65,343.0000305,5.556117,-1.8401546
804,65,343.0000305,4.6751966,-2.161107
810,65,343.0000305,3.502595,-2.0802822
816,65,343.0000305,2.1157713,-2.4472942
822,65,343.0000305,0.793767,-1.5780134
828,65,343.0000305,0.14352703,0.434906
834,65,343.0000305,-0.07402611,2.0099583
840,65,343.0000305,0.055606842,3.5218868
846,65,343.0000305,1.8349752,5.3506403
852,65,343.0000305,3.846201,5.1347466
858,65,343.0000305,3.9961586,1.4829874
864,65,343.0000305,1.530736,-3.331831
870,65,343.0000305,-0.30249596,-4.275754
876,65,343.0000305,-0.6553545,-3.2708244
882,65,343.0000305,-0.81160736,-2.7470589
888,65,343.0000305,0.68132305,-1.8758879
894,65,343.0000305,1.0374289,-0.39166546
900,65,343.0000305,2.5744672,2.6060028
906,65,343.0000305,4.5101357,3.4207695
912,65,343.0000305,4.5509357,2.7314649
918,65,343.0000305,4.555764,2.0967216
924,65,343.0000305,3.5511713,1.5540276
930,65,343.0000305,3.1553383,1.7602854
936,65,343.0000305,2.8205967,2.6385279
942,65,343.0000305,3.7069244,2.072998
948,65,343.0000305,2.9343758,1.2856731
954,65,343.0000305,2.3561382,1.0452328
960,65,343.0000305,2.0373354,1.2409248
966,65,343.0000305,2.4932175,1.2120838
972,65,343.0000305,2.3547812,1.3689909
978,65,343.0000305,2.953559,0.8644724
984,65,343.0000305,2.1200962,1.0115547
990,65,343.0000305,1.6944454,0.76084995
996,65,343.0000305,1.067234,1.5870466
1002,65,343.0000305,1.7048321,0.6739788
1008,65,343.0000305,0.4626789,0.12715244
1014,65,343.0000305,0.5361576,0.2169714
1020,65,343.0000305,-1.0490503,0.2324295
1026,65,343.0000305,-0.3726368,0.7640753
1032,65,343.0000305,0.07184124,1.4938698
1038,65,343.0000305,0.5036211,1.8350458
1044,65,343.0000305,-0.13870335,2.4302187
1050,65,343.0000305,-0.112428665,2.438364
1056,65,343.0000305,0.23343849,2.7488213
1062,65,343.0000305,0.40755463,3.088564
1068,65,343.0000305,0.85393333,3.1495056
1074,65,343.0000305,1.1490526,3.4271374
1080,65,343.0000305,0.91781384,4.216692
1086,65,343.0000305,1.0835989,5.426013
1092,65,343.0000305,0.48118955,6.3995094
1098,65,343.0000305,0.4796496,9.614926
1104,65,343.0000305,0.031692684,10.598355
1110,65,343.0000305,-0.63255405,10.311596
1116,65,343.0000305,-3.372201,11.19307
1122,65,343.0000305,-3.2430859,12.983998
1128,65,343.0000305,-2.4633188,10.813771
1134,65,343.0000305,-1.6518345,8.907449
1140,65,343.0000305,-2.5737877,6.389308
1146,65,343.0000305,-4.71377,4.6078835
1152,65,343.0000305,-5.7905416,5.978754
1158,65,343.0000305,-5.0107317,6.1297436
1164,65,343.0000305,-6.6197987,6.08409
1170,65,343.0000305,-6.894413,5.8925276
1176,65,343.0000305,-3.503994,11.067299
1182,65,343.0000305,-3.9564486,10.085809
1188,65,343.0000305,-6.1643877,9.332019
1194,65,343.0000305,0.41335928,10.840082
1200,65,343.0000305,0.23573685,10.403383
1206,65,343.0000305,-0.5978079,5.8303375
1212,65,343.0000305,-0.79701614,-1.2369518
1218,65,343.0000305,-1.4829006,-7.855605
1224,65,343.0000305,-3.2218132,-8.086837
1230,65,343.0000305,-3.3568878,-3.1720552
1236,65,343.0000305,-3.7864485,1.0452433
1242,65,343.0000305,-1.883112,7.521146
1248,65,343.0000305,-2.5589619,6.203988
1254,65,343.0000305,2.1219149,0.83663005
1260,65,343.0000305,3.9456606,-1.6863146
1266,65,343.0000305,4.0266438,1.179697
1272,65,343.0000305,3.4918642,3.1153135
1278,65,343.0000305,3.8699093,3.5266328
1284,65,343.0000305,-1.1546803,4.0107613
1290,65,343.0000305,-1.6628399,9.705516
1296,65,343.0000305,2.0887175,11.513224
1302,65,343.0000305,2.7311544,9.112676
1308,65,343.0000305,2.6152296,8.717503
1314,65,343.0000305,1.3116732,7.201393
1320,65,343.0000305,1.218605,7.2009563
1326,65,343.0000305,1.2165518,8.266622
1332,65,343.0000305,7.43651,5.541725
1338,65,343.0000305,7.4279795,2.6069365
1344,65,343.0000305,4.145748,-1.7538519
1350,65,343.0000305,3.0928593,2.474265
1356,65,343.0000305,1.5260601,6.1657867
1362,65,343.0000305,0.74469066,7.5591803
1368,65,343.0000305,2.4552078,6.949767
1374,65,343.0000305,0.10487467,4.3492613
1380,65,343.0000305,1.3893728,3.6636057
1386,65,343.0000305,-0.75469154,0.6697332
1392,65,343.0000305,-1.3349991,-2.6671305
1398,65,343.0000305,-1.2759514,-4.963318
1404,65,343.0000305,0.3674059,-4.0909348
1410,65,343.0000305,0.6701431,-2.4168549
1416,65,343.0000305,-0.8703394,-0.3586495
1422,65,343.0000305,-0.9374081,0.23036098
1428,65,343.0000305,0.36539233,1.2968073
1434,65,343.0000305,-2.1181707,0.74550724
1440,65,343.0000305,-1.6767826,2.0679474
1446,65,343.0000305,-1.7319717,3.1095834
1452,65,343.0000305,-0.80331707,4.040537
1458,65,343.0000305,3.3716497,4.39404
1464,65,343.0000305,3.288866,4.0940027
1470,65,343.0000305,2.5380096,4.3327265
1476,65,343.0000305,2.4318438,2.8648129
1482,65,343.0000305,3.865736,0.029774666
1488,65,343.0000305,4.221986,-0.19530106
1494,65,343.0000305,0.68526906,-1.4165249
1500,65,343.0000305,-0.6538542,-1.9571676
1506,65,343.0000305,1.318895,0.07932854
1512,65,343.0000305,2.621045,0.8291178
1518,65,343.0000305,2.5307698,0.6273861
1524,65,343.0000305,0.7232895,-2.356636
1530,65,343.0000305,-0.48958588,-2.5170717
1536,65,343.0000305,-0.830266,-2.91893
1542,65,343.0000305,-0.7966261,-3.5004654
1548,65,343.0000305,0.36169434,-3.8440762
1554,65,343.0000305,1.5858986,-2.9715767
1560,65,343.0000305,1.3258507,-1.8795023
1566,65,343.0000305,0.61314285,1.0649366
1572,65,343.0000305,-2.95823,2.5741587
1578,65,343.0000305,2.6212463,4.2662716
1584,65,343.0000305,1.7577705,5.0982027
1590,65,343.0000305,1.6690321,4.4355183
1596,65,343.0000305,0.11189607,-1.3971615
1602,65,343.0000305,2.305358,-6.566884
1608,65,343.0000305,5.37146,-5.9964247
1614,65,343.0000305,6.8433495,-7.551038
1620,65,343.0000305,6.620929,-3.2739954
1626,65,343.0000305,4.552273,2.9060402
1632,65,343.0000305,3.8811007,3.4163525
1638,65,343.0000305,2.6332464,2.7710648
1644,65,343.0000305,1.1506915,1.8455315
1650,65,343.0000305,-0.7014084,0.80088425
1656,65,343.0000305,-1.7368975,0.39125252
1662,65,343.0000305,-3.1919737,-3.274499
1668,65,343.0000305,-3.669673,-5.1047306
1674,65,343.0000305,-3.1296701,-6.48829
1680,65,343.0000305,0.57049465,-4.5810394
1686,65,343.0000305,1.9886074,-1.9511137
1692,65,343.0000305,2.8872452,-1.2938728
1698,65,343.0000305,2.3564122,-3.245245
1704,65,343.0000305,1.5215349,-4.479827
1710,65,343.0000305,2.689007,-3.5875797
1716,65,343.0000305,2.6379516,-5.3398533
1722,65,343.0000305,2.0726066,-3.2401829
1728,65,343.0000305,1.6076024,-2.422453
1734,65,343.0000305,1.4031377,0.28380108
1740,65,343.0000305,0.51733875,1.2225714
1746,65,343.0000305,0.9836769,2.4920979
1752,65,343.0000305,2.5558891,1.4307947
1758,65,343.0000305,2.107129,0.91321754
1764,65,343.0000305,1.7740726,-0.68204594
1770,65,343.0000305,1.351203,-1.5828009
1776,65,343.0000305,1.5186958,-1.320837
1782,65,343.0000305,1.980732,-0.046979904
1788,65,343.0000305,1.726821,0.12662315
1794,65,343.0000305,2.5098925,-0.30772877
1800,65,343.0000305,3.1804357,-0.50623417
1806,65,343.0000305,2.4016612,-1.7529316
1812,65,343.0000305,1.3988466,-0.8075285
1818,65,343.0000305,2.8796043,-0.65989494
1824,65,343.0000305,2.6575594,-1.7579117
1830,65,343.0000305,2.435657,-0.86497784
1836,65,343.0000305,2.8190384,1.8557205
1842,65,343.0000305,4.372284,0.85846096
1848,65,343.0000305,-0.030626923,-6.2547617
1854,65,343.0000305,-0.3629036,-6.6483765
1860,65,343.0000305,1.9081974,-13.245597
1866,65,343.0000305,5.5144043,-9.519302
1872,65,343.0000305,3.9619017,-12.811169
1878,65,343.0000305,0.36467457,-9.908569
1884,65,343.0000305,-0.5377722,-12.684431
1890,65,343.0000305,-0.93185425,-8.305459
1896,65,343.0000305,0.6004343,-5.9214315
1902,65,343.0000305,0.42617226,-5.1212215
1908,65,343.0000305,-0.44418144,-8.611085
1914,65,343.0000305,0.31423473,-5.021084
1920,65,343.0000305,0.8641567,-4.173685
1926,65,343.0000305,0.82170826,-3.9844952
1932,65,343.0000305,-0.5315609,-6.5630054
1938,65,343.0000305,0.042588234,-3.2205858
1944,65,343.0000305,0.3058052,-1.815588
1950,65,343.0000305,0.49459076,-1.3236599
1956,65,343.0000305,-0.07170296,-2.026044
1962,65,343.0000305,0.8328495,-2.8080177
1968,65,343.0000305,1.3032885,-2.065298
1974,65,343.0000305,1.5281935,-1.6482096
1980,65,343.0000305,0.99088,-1.9084158
1986,65,343.0000305,1.8800799,-0.650897
1992,65,343.0000305,2.3904593,1.0346956
1998,65,343.0000305,2.3285193,1.0759935
2004,65,343.0000305,0.89758,1.1207829
2010,65,343.0000305,0.5123266,-0.040110588
2016,65,343.0000305,0.8610035,-1.2760859
2022,65,343.0000305,1.8407576,-1.6500111
2028,65,343.0000305,1.7113485,-2.191903
2034,65,343.0000305,-0.27030182,-3.4229069
2040,65,343.0000305,-0.49978352,-5.193454
2046,65,343.0000305,0.048434258,-6.071557
2052,65,343.0000305,0.3512535,-8.891613
2058,65,343.0000305,1.2289665,-6.321187
2064,65,343.0000305,2.91576,-4.978903
2070,65,343.0000305,3.4139423,-3.9773092
2076,65,343.0000305,4.905259,-6.8542233
2082,65,343.0000305,2.932146,-2.5396585
2088,65,343.0000305,2.2303243,1.3308392
2094,65,343.0000305,2.1271372,3.8033648
2100,65,343.0000305,1.5127926,5.2663803
2106,65,343.0000305,1.9276876,5.250375
2112,65,343.0000305,3.8640232,3.201705
2118,65,343.0000305,3.2419415,3.11513
2124,65,343.0000305,4.402092,2.3331938
2130,65,343.0000305,2.280261,1.7524081
2136,65,343.0000305,1.5414705,1.7419033
2142,65,343.0000305,1.8729382,0.2259416
2148,65,343.0000305,1.0408272,-3.6178112
2154,65,343.0000305,0.15828228,-4.3982725
2160,65,343.0000305,0.38867188,-4.7416706
2166,65,343.0000305,-0.89466095,-5.249176
2172,65,343.0000305,1.3260946,-4.911868
2178,65,343.0000305,0.18854141,-5.6063337
2184,65,343.0000305,-0.37766743,-6.4487524
2190,65,343.0000305,-0.60721874,-5.922716
2196,65,343.0000305,-1.3066483,-9.630112
2202,65,343.0000305,0.07341671,-6.081625
2208,65,343.0000305,0.8503885,-6.5309725
2214,65,343.0000305,0.4323597,-4.901451
2220,65,343.0000305,-1.2064991,-5.968478
2226,65,343.0000305,-1.1299801,-3.469617
2232,65,343.0000305,-0.36750603,-1.1617517
2238,65,343.0000305,0.11427212,1.277421
2244,65,343.0000305,-0.33831406,1.8554802
2250,65,343.0000305,-0.39693356,2.2266965
2256,65,343.0000305,-0.30731583,1.6546022
2262,65,343.0000305,-0.44448662,0.91974777
2268,65,343.0000305,-1.2765856,-3.001295
2274,65,343.0000305,-1.251195,-5.0013103
2280,65,343.0000305,-0.8207207,-4.7514086
2286,65,343.0000305,-1.7722054,-4.653061
2292,65,343.0000305,-3.8832235,-5.1805735
2298,65,343.0000305,-2.2463655,-2.8324938
2304,65,343.0000305,-1.0216637,-0.62670803
2310,65,343.0000305,0.40280724,1.7365685
2316,65,343.0000305,2.0757875,1.7033529
2322,65,343.0000305,3.5054948,1.3144883
2328,65,343.0000305,2.2202644,1.3018093
2334,65,343.0000305,3.1669302,1.510498
2340,65,343.0000305,3.1520014,1.5148497
2346,65,343.0000305,3.1617403,1.7123927
2352,65,343.0000305,2.374072,1.5959864
2358,65,343.0000305,-0.1626358,-1.8486156
2364,65,343.0000305,-7.094242,-9.124029
2370,65,343.0000305,-2.6800156,-4.992258
2376,65,343.0000305,-2.0160198,-4.791526
2382,65,343.0000305,-0.845376,-4.497715
2388,65,343.0000305,-3.7052975,-7.372016
2394,65,343.0000305,-3.4654045,-5.9526634
2400,65,343.0000305,-3.2663603,-6.7108965
2406,65,343.0000305,-2.4003677,-6.803583
2412,65,343.0000305,-5.2488985,-9.596713
2418,65,343.0000305,-4.0433846,-7.6404448
2424,65,343.0000305,-5.591728,-8.124572
2430,65,343.0000305,-7.4788036,-9.082184
2436,65,343.0000305,-14.0534725,-12.9908905
2442,65,343.0000305,-15.654198,-10.605661
2448,65,343.0000305,-9.30497,-5.081978
2454,65,343.0000305,-7.4739847,-3.8969183
2460,65,343.0000305,-10.255488,-3.3210878
2466,65,343.0000305,-7.526246,-1.9928198
2472,65,343.0000305,-3.7218428,-1.8458471
2478,65,343.0000305,-2.4313326,-1.077321
2484,65,343.0000305,-3.6447601,1.1288385
2490,65,343.0000305,-1.4504757,2.14571
2496,65,343.0000305,-0.12762737,2.4092455
2502,65,343.0000305,1.0540962,1.9843044
2508,65,343.0000305,0.17137241,1.8440428
2514,65,343.0000305,-0.48104477,1.3510046
2520,65,343.0000305,-0.9910526,1.7324798
2526,65,343.0000305,-1.6139879,2.9689934
2532,65,343.0000305,-3.721447,3.4973662
2538,65,343.0000305,-3.0017948,3.2436714
2544,65,343.0000305,-2.1215963,3.2873468
2550,65,343.0000305,-0.6877718,3.8128014
2556,65,343.0000305,1.0766983,3.7163382
2562,65,343.0000305,1.3894644,4.699565
2568,65,343.0000305,0.27203047,5.3380632
2574,65,343.0000305,-0.9457016,4.074671
2580,65,343.0000305,-1.2354527,5.1545267
2586,65,343.0000305,-1.110609,3.7487564
2592,65,343.0000305,-2.521349,2.4108496
2598,65,343.0000305,-2.4626894,0.62677217
2604,65,343.0000305,-0.21934795,2.172717
2610,65,343.0000305,2.9599504,0.6744186
2616,65,343.0000305,4.05515,0.97908765
2622,65,343.0000305,4.6397305,1.5778241
2628,65,343.0000305,4.338628,0.20397258
2634,65,343.0000305,3.1687193,-2.026105
2640,65,343.0000305,2.763215,-1.3359289
2646,65,343.0000305,4.0005636,-4.9959383
2652,65,343.0000305,3.2453327,-7.0630207
2658,65,343.0000305,0.6560669,-3.0813293
2664,65,343.0000305,0.0971899,-2.1475344
2670,65,343.0000305,-1.8775826,-2.812151
2676,65,343.0000305,-3.215271,-1.7962227
2682,65,343.0000305,-2.4649782,-2.402464
2688,65,343.0000305,-0.6115446,-2.3482752
2694,65,343.0000305,0.44313335,-2.695506
2700,65,343.0000305,-0.533247,-4.8561573
2706,65,343.0000305,0.048916757,-4.1371517
2712,65,343.0000305,-0.041155815,-1.5468073
2718,65,343.0000305,0.7562011,0.07121372
2724,65,343.0000305,-0.4980564,-0.5950928
2730,65,343.0000305,-0.8162324,-0.83050156
2736,65,343.0000305,-0.36382198,-1.6997309
2742,65,343.0000305,0.24619389,-1.663454
2748,65,343.0000305,1.3462496,-2.0889215
2754,65,343.0000305,0.6200285,-0.06350255
2760,65,343.0000305,1.0630236,3.2725687
2766,65,343.0000305,1.85993,4.2776613
2772,65,343.0000305,2.4820318,7.428341
2778,65,343.0000305,4.0491133,5.774791
2784,65,343.0000305,4.536064,3.8663874
2790,65,343.0000305,8.539933,2.2201757
2796,65,343.0000305,4.3280563,-4.2776737
2802,65,343.0000305,2.901886,-1.1986942
2808,65,343.0000305,4.051548,3.238721
2814,65,343.0000305,6.008317,3.665594
2820,65,343.0000305,9.397667,0.94948417
2826,65,343.0000305,10.180874,-3.0313244
2832,65,343.0000305,3.9850616,-1.7041483
2838,65,343.0000305,1.9554682,-5.924082
2844,65,343.0000305,4.15989,-12.352744
2850,65,343.0000305,2.3503447,-9.875863
2856,65,343.0000305,2.3748035,-6.7648745
2862,65,343.0000305,1.7639961,-5.143282
2868,65,343.0000305,1.4308279,-11.109758
2874,65,343.0000305,2.0264077,-8.363573
2880,65,343.0000305,3.5862455,-8.032781
2886,65,343.0000305,3.667472,-7.0155563
2892,65,343.0000305,4.440386,-12.870774
2898,65,343.0000305,3.375885,-7.7142096
2904,65,343.0000305,2.5625076,-7.173377
2910,65,343.0000305,2.737771,-5.9080114
2916,65,343.0000305,3.3038788,-9.653239
2922,65,343.0000305,3.3394718,-6.9624977
2928,65,343.0000305,3.0541515,-4.266906
2934,65,343.0000305,2.970461,-3.6502914
2940,65,343.0000305,3.531392,-8.452159
2946,65,343.0000305,3.7890167,-7.738429
2952,65,343.0000305,3.614089,-5.1282682
2958,65,343.0000305,3.7307768,-4.2692156
2964,65,343.0000305,3.944312,-8.534858
2970,65,343.0000305,2.9181538,-7.0256224
2976,65,343.0000305,1.427834,-3.9860287
2982,65,343.0000305,0.74160385,-3.0991354
2988,65,343.0000305,0.15970516,-5.6151485
2994,65,343.0000305,1.1180763,-4.1227293
3000,65,343.0000305,1.4084396,-1.7164555
