time,lat,lon,U,V
0,18,32,0.5628154,-4.3342533
6,18,32,0.99878657,-4.135107
12,18,32,0.21254414,-5.696335
18,18,32,1.1608534,-4.393297
24,18,32,0.6716739,-4.99897
30,18,32,0.50098956,-3.8340578
36,18,32,-0.24904442,-5.487052
42,18,32,0.5182574,-4.517851
48,18,32,0.5131242,-4.5897713
54,18,32,-0.5235472,-3.7981052
60,18,32,-1.7130833,-5.0146475
66,18,32,0.11120564,-4.7657814
72,18,32,-0.3296982,-5.4615183
78,18,32,-0.7839683,-4.1457577
84,18,32,-1.0487175,-6.707679
90,18,32,0.24502963,-5.9277086
96,18,32,-1.4150581,-6.589078
102,18,32,-2.0715513,-5.632474
108,18,32,-3.0287237,-6.7986765
114,18,32,-0.47989273,-6.1022024
120,18,32,-2.2032413,-6.127817
126,18,32,-1.9849186,-4.711975
132,18,32,-2.240633,-5.3431883
138,18,32,0.64253086,-5.3107767
144,18,32,-0.51616,-5.1994753
150,18,32,-0.1833458,-3.6886387
156,18,32,-1.2274837,-4.99389
162,18,32,0.31213582,-4.6526423
168,18,32,0.94362074,-4.157667
174,18,32,0.97378725,-3.6507072
180,18,32,2.3628998,-4.758547
186,18,32,2.1931877,-5.051812
192,18,32,1.5102434,-5.8024073
198,18,32,0.84398764,-5.783865
204,18,32,1.2221861,-6.9479055
210,18,32,0.64669687,-6.3789415
216,18,32,-0.48788416,-5.4924107
222,18,32,-0.97632045,-5.3703966
228,18,32,-0.78003037,-5.1420546
234,18,32,-0.9181065,-4.4592237
240,18,32,-0.9881145,-4.110408
246,18,32,-1.0506105,-2.9591608
252,18,32,-2.6679544,-2.925126
258,18,32,-0.18148392,-4.1774883
264,18,32,-0.78212166,-3.6156998
270,18,32,-1.9279499,-2.2980118
276,18,32,-1.4641418,-2.3337517
282,18,32,-1.1183081,-3.7886066
288,18,32,0.03766658,-2.9504166
294,18,32,-0.19319719,-1.9905415
300,18,32,0.015729249,-2.5756588
306,18,32,0.48712558,-4.032037
312,18,32,-0.014323339,-2.6421776
318,18,32,0.60448927,-2.3935986
324,18,32,1.7721643,-1.9799652
330,18,32,1.8479023,-3.2317734
336,18,32,0.9394484,-3.3725042
342,18,32,-0.024163008,-2.3851938
348,18,32,1.498651,-3.851079
354,18,32,1.466754,-5.6068764
360,18,32,0.43339545,-4.4264994
366,18,32,0.7372826,-4.1373425
372,18,32,0.9340541,-5.4709635
378,18,32,-0.17666364,-5.132681
384,18,32,-0.2519269,-4.0837736
390,18,32,-0.29823917,-3.603304
396,18,32,0.5092035,-4.9003706
402,18,32,-0.114136696,-4.1187305
408,18,32,0.41072452,-4.5311203
414,18,32,0.26456797,-3.8281202
420,18,32,1.1723194,-5.677326
426,18,32,1.2740259,-5.7002373
432,18,32,-0.9967846,-7.1220446
438,18,32,-1.0524807,-5.271165
444,18,32,-0.3951311,-6.250578
450,18,32,1.5171204,-5.601144
456,18,32,0.53918254,-4.9796896
462,18,32,0.16678047,-4.155366
468,18,32,0.2998249,-4.39783
474,18,32,0.88518083,-4.720687
480,18,32,-0.18238467,-4.831023
486,18,32,-0.3896166,-3.542776
492,18,32,0.28188777,-5.251938
498,18,32,0.7874403,-5.268325
504,18,32,-0.73384327,-5.458764
510,18,32,-0.7621928,-4.281145
516,18,32,-0.030895699,-6.386014
522,18,32,-0.11413264,-5.0178585
528,18,32,-1.2298069,-5.505659
534,18,32,-1.9571238,-4.6554995
540,18,32,-1.7366772,-5.109761
546,18,32,-0.97010595,-4.959735
552,18,32,-1.194561,-4.6126347
558,18,32,-1.3526373,-3.3821783
564,18,32,-1.3040161,-4.382375
570,18,32,-0.045633435,-4.522312
576,18,32,-0.15098667,-3.2524366
582,18,32,-0.81700325,-2.742487
588,18,32,0.066712976,-4.129265
594,18,32,-0.7488909,-3.9655952
600,18,32,-1.1029348,-3.428069
606,18,32,-0.87065697,-3.1334286
612,18,32,-2.634201,-4.83243
618,18,32,-1.1246681,-4.1839695
624,18,32,-1.3031607,-3.601984
630,18,32,-1.2458191,-2.2030554
636,18,32,-0.5084157,-4.739416
642,18,32,-0.6193624,-3.6604528
648,18,32,0.23528409,-3.4171095
654,18,32,-0.3108229,-3.8700762
660,18,32,-1.0149508,-5.988716
666,18,32,-0.37257117,-4.2826614
672,18,32,-0.2556793,-4.8271675
678,18,32,-0.13169378,-3.978116
684,18,32,0.15534002,-5.360901
690,18,32,1.3118792,-4.372649
696,18,32,0.002883008,-4.8279
702,18,32,-0.50722164,-3.202712
708,18,32,0.124176025,-4.0323086
714,18,32,0.41451645,-4.1924686
720,18,32,0.43701297,-4.0682
726,18,32,-0.026322663,-2.4136448
732,18,32,-0.47223377,-3.7015476
738,18,32,0.2928757,-4.5378466
744,18,32,-0.4379015,-3.9297123
750,18,32,-1.9938536,-1.3826008
756,18,32,0.5463964,-1.6842375
762,18,32,0.05834601,-3.8784742
768,18,32,-0.67961955,-3.9138365
774,18,32,-0.9390335,-3.091649
780,18,32,-0.53073883,-3.735012
786,18,32,0.96670854,-4.955435
792,18,32,-0.9175717,-5.600257
798,18,32,-2.3863306,-4.7637577
804,18,32,-1.3114319,-3.9185095
810,18,32,1.0480108,-4.8291073
816,18,32,0.06591427,-5.9658947
822,18,32,-0.9722185,-5.3788376
828,18,32,-0.5594387,-4.482479
834,18,32,1.9854813,-4.575349
840,18,32,2.062379,-4.157795
846,18,32,0.99138206,-3.626421
852,18,32,1.9574602,-2.6553774
858,18,32,3.6197748,-4.3458805
864,18,32,1.6143923,-3.2503529
870,18,32,0.6987363,-2.5141392
876,18,32,2.1195335,-3.914772
882,18,32,0.9224606,-3.679656
888,18,32,0.064154744,-3.6489687
894,18,32,-1.0096817,-2.4885292
900,18,32,1.7667089,-2.853448
906,18,32,0.65431863,-2.714508
912,18,32,0.63704395,-2.5911436
918,18,32,-0.23750067,-1.2285728
924,18,32,1.241631,-4.3448467
930,18,32,0.9735059,-4.4301586
936,18,32,-0.2956801,-3.8230877
942,18,32,-0.71469223,-3.069584
948,18,32,1.7758389,-3.248539
954,18,32,1.7624254,-3.6959677
960,18,32,1.3912878,-2.6508656
966,18,32,0.6654045,-4.6081
972,18,32,0.23297322,-6.62337
978,18,32,0.36049503,-5.195676
984,18,32,-0.41957247,-5.21124
990,18,32,-1.3040695,-4.276
996,18,32,-2.118884,-4.934574
1002,18,32,-0.9503901,-4.1607647
1008,18,32,-1.2348537,-4.611267
1014,18,32,-2.202567,-3.5236807
1020,18,32,-2.2529478,-3.997841
1026,18,32,-0.979516,-3.840207
1032,18,32,-0.32105637,-4.0210238
1038,18,32,-2.234414,-2.240468
1044,18,32,-1.9464998,-3.1088839
1050,18,32,-0.43358207,-3.868353
1056,18,32,1.0428172,-3.8234634
1062,18,32,-0.27031958,-2.5353603
1068,18,32,0.60613054,-2.9422903
1074,18,32,1.4474808,-3.6374216
1080,18,32,1.181489,-3.8326826
1086,18,32,-0.037245154,-3.35435
1092,18,32,-0.5361731,-3.2424774
1098,18,32,-0.058573127,-4.1511145
1104,18,32,-0.5571986,-4.2870464
1110,18,32,-1.5208969,-3.7613163
1116,18,32,-3.119914,-3.8971233
1122,18,32,-1.8753996,-4.1747627
1128,18,32,-2.451644,-3.112897
1134,18,32,-4.5321846,-1.9854994
1140,18,32,-1.6048384,-1.27528
1146,18,32,-0.39164668,-3.434164
1152,18,32,-0.3428955,-3.1756878
1158,18,32,-2.9194832,-1.6042128
1164,18,32,-2.0669565,-2.1768847
1170,18,32,-1.3879862,-3.9743586
1176,18,32,-1.4944906,-3.7460194
1182,18,32,-3.017932,-1.6299934
1188,18,32,-1.723319,-3.0985508
1194,18,32,-0.62095165,-4.7851076
1200,18,32,-0.3930412,-6.8379135
1206,18,32,-1.4660797,-6.306781
1212,18,32,-0.37884903,-6.917863
1218,18,32,0.74802876,-6.686578
1224,18,32,-0.5797348,-6.2849627
1230,18,32,-2.4290104,-3.5824833
1236,18,32,-1.3640957,-3.667222
1242,18,32,0.8647393,-5.568819
1248,18,32,-0.42068863,-5.413067
1254,18,32,-2.6722183,-4.1370735
1260,18,32,-1.2256136,-4.157074
1266,18,32,-0.16289997,-5.107318
1272,18,32,-1.0516777,-5.6015835
1278,18,32,-2.7247524,-5.100792
1284,18,32,-2.8563747,-4.413069
1290,18,32,-1.570735,-5.5392723
1296,18,32,-3.8460493,-4.2739773
1302,18,32,-4.310295,-4.101598
1308,18,32,-3.698739,-3.6303444
1314,18,32,-1.6133232,-4.132042
1320,18,32,-1.7480316,-3.4355087
1326,18,32,-3.6238956,-1.0507679
1332,18,32,-2.006958,-1.4917936
1338,18,32,-1.6372337,-3.69384
1344,18,32,-2.303547,-3.7024813
1350,18,32,-2.403943,-3.216628
1356,18,32,-4.254977,-3.504879
1362,18,32,-2.7600794,-4.7898903
1368,18,32,-2.578576,-6.066354
1374,18,32,-3.1316013,-5.619031
1380,18,32,-4.9532795,-6.510684
1386,18,32,-1.9836235,-5.9862986
1392,18,32,-3.467595,-6.959831
1398,18,32,-4.2953844,-5.0095854
1404,18,32,-5.7857246,-5.0829754
1410,18,32,-2.9318705,-4.962801
1416,18,32,-5.530649,-3.6261501
1422,18,32,-6.060645,-3.7068453
1428,18,32,-5.41409,-1.141469
1434,18,32,-1.6804638,-2.8079948
1440,18,32,-2.6343298,-3.1257677
1446,18,32,-5.803624,-2.3406086
1452,18,32,-4.618326,-3.562707
1458,18,32,-1.6121721,-4.0987797
1464,18,32,-3.426262,-4.427391
1470,18,32,-5.0501385,-3.559291
1476,18,32,-6.047241,-5.246352
1482,18,32,-2.518055,-4.916561
1488,18,32,-5.4342537,-4.340331
1494,18,32,-5.0478745,-3.9098444
1500,18,32,-4.264518,-5.680522
1506,18,32,-1.3418579,-4.555868
1512,18,32,-2.5894756,-4.7103767
1518,18,32,-3.7509394,-2.5312157
1524,18,32,-3.3400612,-3.2894516
1530,18,32,-0.8437861,-3.860753
1536,18,32,-0.63514996,-3.159587
1542,18,32,-2.275093,-1.7388182
1548,18,32,-1.3494778,-1.8428707
1554,18,32,-1.6310625,-2.898531
1560,18,32,-1.3064508,-2.472252
1566,18,32,-0.15359414,-4.2128286
1572,18,32,-1.2603731,-7.744776
1578,18,32,0.47672588,-6.652648
1584,18,32,0.33785254,-8.145508
1590,18,32,-0.97051406,-8.44982
1596,18,32,0.43079388,-9.001161
1602,18,32,0.6155765,-7.864292
1608,18,32,-0.49225587,-7.381218
1614,18,32,-1.0900383,-7.436453
1620,18,32,-1.175024,-7.621999
1626,18,32,-0.4008916,-6.1719284
1632,18,32,-0.9030461,-6.660803
1638,18,32,-1.6139545,-5.4217987
1644,18,32,-0.21588606,-5.7638874
1650,18,32,0.57535666,-5.644058
1656,18,32,-0.21509153,-5.178891
1662,18,32,-0.6838895,-4.596141
1668,18,32,1.0615454,-5.7399445
1674,18,32,0.1465962,-4.3802795
1680,18,32,-0.4883185,-4.3080883
1686,18,32,-1.0897026,-4.021139
1692,18,32,-0.85949945,-5.817461
1698,18,32,-0.20605564,-4.466735
1704,18,32,-1.0021505,-5.2625713
1710,18,32,-1.9037418,-5.402608
1716,18,32,-0.5242717,-7.0038157
1722,18,32,-0.6783848,-5.6954184
1728,18,32,-1.8370686,-5.6620064
1734,18,32,-2.9746552,-5.6073017
1740,18,32,-2.4559565,-5.47952
1746,18,32,-0.6939686,-5.173193
1752,18,32,-1.3111849,-4.3968697
1758,18,32,-2.1194935,-4.3650064
1764,18,32,-0.037393197,-4.7469187
1770,18,32,0.3524328,-3.8777866
1776,18,32,0.6495966,-3.2910442
1782,18,32,-0.33832276,-3.2753868
1788,18,32,0.26176304,-5.157262
1794,18,32,0.76789993,-4.61485
1800,18,32,-0.56897146,-4.7547636
1806,18,32,-3.2303696,-4.3210974
1812,18,32,-2.7409248,-4.373081
1818,18,32,-1.2988567,-3.9239225
1824,18,32,-1.1282482,-4.162674
1830,18,32,-1.903307,-3.1646538
1836,18,32,-2.0892448,-4.696331
1842,18,32,-0.81835717,-4.770355
1848,18,32,-1.0172033,-5.336213
1854,18,32,-1.794116,-5.197296
1860,18,32,-0.24410915,-5.4851074
1866,18,32,1.1305459,-5.503295
1872,18,32,-0.090620816,-5.524441
1878,18,32,-1.5186987,-4.4639044
1884,18,32,-2.1044388,-4.7413034
1890,18,32,-0.28744173,-4.938138
1896,18,32,-2.046957,-5.0477734
1902,18,32,-2.8492832,-3.1630573
1908,18,32,-2.7249842,-5.4322615
1914,18,32,-0.7984077,-4.907305
1920,18,32,-0.7845211,-5.0532866
1926,18,32,-2.714347,-3.3705893
1932,18,32,-1.6375237,-5.7629547
1938,18,32,-1.1005011,-3.946519
1944,18,32,-0.20484161,-4.055094
1950,18,32,-1.8646975,-1.8347273
1956,18,32,-0.6040885,-3.5545082
1962,18,32,-0.09138852,-4.4565325
1968,18,32,0.16975087,-5.3958416
1974,18,32,-1.4020844,-4.9456415
1980,18,32,1.1003946,-5.2906027
1986,18,32,0.50951886,-4.939151
1992,18,32,-1.7498722,-7.6019783
1998,18,32,-2.4781885,-7.302676
2004,18,32,-1.58041,-6.446822
2010,18,32,0.47428763,-6.569888
2016,18,32,0.35586482,-7.2197533
2022,18,32,-0.31284374,-8.429295
2028,18,32,0.8527537,-9.337001
2034,18,32,-0.8744002,-6.967437
2040,18,32,-1.0634127,-5.805909
2046,18,32,-2.2992373,-7.1439962
2052,18,32,-2.8535633,-5.467558
2058,18,32,-1.0330153,-4.215392
2064,18,32,-0.17100716,-4.4805374
2070,18,32,-2.591241,-4.5773907
2076,18,32,-2.3979435,-4.5636396
2082,18,32,-0.38564163,-5.0712986
2088,18,32,-0.56093407,-4.4292
2094,18,32,-2.8603125,-2.491787
2100,18,32,-1.862071,-2.6486073
2106,18,32,-0.5493286,-4.5886965
2112,18,32,-0.9232931,-3.7964478
2118,18,32,-2.525467,-1.9129238
2124,18,32,-0.68691444,-1.8960171
2130,18,32,-0.2570452,-4.2092466
2136,18,32,-1.7833986,-2.9973478
2142,18,32,-3.3154545,-1.2891016
2148,18,32,-3.8377542,-2.5035467
2154,18,32,-2.1158972,-3.5074253
2160,18,32,-2.8783464,-2.9038038
2166,18,32,-4.185809,-0.6205139
2172,18,32,-7.5838833,-3.628271
2178,18,32,-3.4863443,-3.3044405
2184,18,32,-5.667959,-1.3574657
2190,18,32,-3.9480696,-1.7455568
2196,18,32,-6.596919,-0.5386677
2202,18,32,-2.960949,-0.9548149
2208,18,32,-5.1176796,-0.3504753
2214,18,32,-5.4638863,-0.8110819
2220,18,32,-5.1330347,-0.7036276
2226,18,32,-1.6348763,-2.554245
2232,18,32,-4.6777477,-1.2344065
2238,18,32,-3.6569319,-0.08947849
2244,18,32,-0.24487525,-2.2838984
2250,18,32,0.059493065,-4.197238
2256,18,32,1.3239479,-5.665391
2262,18,32,-0.009106018,-6.4468117
2268,18,32,-1.7263803,-3.8784504
2274,18,32,1.2909,-3.6373005
2280,18,32,2.6958408,-4.400688
2286,18,32,-0.9929733,-3.9992552
2292,18,32,0.9132111,-3.5674658
2298,18,32,3.9504364,-6.505355
2304,18,32,1.062635,-7.7088747
2310,18,32,1.0828365,-7.399233
2316,18,32,2.206623,-6.9902067
2322,18,32,3.4804525,-4.8890114
2328,18,32,2.7864342,-4.483446
2334,18,32,3.104865,-4.6831856
2340,18,32,3.488368,-5.2888174
2346,18,32,2.8926477,-3.3410683
2352,18,32,2.7150812,-3.517558
2358,18,32,1.1093006,-4.385247
2364,18,32,1.4677896,-4.5127115
2370,18,32,1.6315117,-4.7412624
2376,18,32,-0.2706492,-5.096384
2382,18,32,-3.1951513,-5.1908703
2388,18,32,-2.9268942,-4.596384
2394,18,32,-0.48046178,-5.2904053
2400,18,32,-1.8698025,-5.296521
2406,18,32,-4.102503,-3.0553122
2412,18,32,-2.7945356,-3.3279266
2418,18,32,-0.9414978,-4.227947
2424,18,32,-0.83736575,-3.265009
2430,18,32,-2.2594395,-2.5445452
2436,18,32,-3.4932775,-2.077569
2442,18,32,-1.2406492,-3.5886297
2448,18,32,-1.2738934,-2.9544058
2454,18,32,-2.0267525,-0.55693245
2460,18,32,-1.2573833,-0.17000061
2466,18,32,-0.49480325,-3.7619982
2472,18,32,-0.86166304,-3.1150799
2478,18,32,-2.8474035,-5.249813
2484,18,32,-3.8256521,-4.6027603
2490,18,32,-0.8428211,-4.5253286
2496,18,32,-2.9306765,-7.2427073
2502,18,32,-5.522564,-6.0453672
2508,18,32,-5.711465,-5.322174
2514,18,32,-2.2493553,-5.853942
2520,18,32,-5.7826653,-6.12086
2526,18,32,-6.4460735,-6.7254124
2532,18,32,-6.93242,-5.651224
2538,18,32,-3.0698757,-5.46177
2544,18,32,-5.836138,-4.148755
2550,18,32,-5.45763,-4.807729
2556,18,32,-5.9590874,-3.4707346
2562,18,32,-2.2826138,-4.1118355
2568,18,32,-3.7955217,-3.6409454
2574,18,32,-4.786476,-1.6927891
2580,18,32,-6.265398,-1.3282232
2586,18,32,-3.4601908,-3.3967724
2592,18,32,-6.538912,-0.14311075
2598,18,32,-6.9520464,2.1155043
2604,18,32,-4.437271,2.5023384
2610,18,32,-3.1903706,-1.7320137
2616,18,32,-6.1841946,0.67760366
2622,18,32,-5.1818094,2.8747168
2628,18,32,-4.8263025,1.8378696
2634,18,32,-3.476966,-0.9595518
2640,18,32,-2.5179663,1.7678051
2646,18,32,-2.2648144,2.9510624
2652,18,32,-1.8971891,2.6493492
2658,18,32,-0.9994488,-1.9776068
2664,18,32,2.5513697,0.5443127
2670,18,32,0.27687645,-4.1786776
2676,18,32,1.2699413,-5.7875834
2682,18,32,1.9173384,-6.708025
2688,18,32,-0.3458634,-6.4629965
2694,18,32,-0.44362164,-6.651287
2700,18,32,0.47068435,-7.369277
2706,18,32,0.6295513,-6.5710773
2712,18,32,-1.7685966,-6.2605476
2718,18,32,-0.7779846,-6.608342
2724,18,32,-1.3940649,-7.5295677
2730,18,32,-1.3670893,-8.191166
2736,18,32,-4.5029373,-7.5469265
2742,18,32,-4.895336,-7.535898
2748,18,32,-4.952278,-7.5274982
2754,18,32,-2.241088,-6.695532
2760,18,32,-4.4478664,-5.916668
2766,18,32,-5.4371014,-5.3866615
