time,lat,lon,U,V
0,48.75000381,261.75,6.007003,1.4684343
6,48.75000381,261.75,5.7499256,0.23696804
12,48.75000381,261.75,4.950674,0.30366516
18,48.75000381,261.75,5.490054,-1.9503794
24,48.75000381,261.75,3.8636866,-3.4762707
30,48.75000381,261.75,3.918765,-4.620549
36,48.75000381,261.75,4.3018255,-4.060998
42,48.75000381,261.75,5.3957663,-4.033127
48,48.75000381,261.75,6.2644644,-2.7558537
54,48.75000381,261.75,7.605137,-3.3337908
60,48.75000381,261.75,6.517702,-3.3594198
66,48.75000381,261.75,4.8779936,-6.1286955
72,48.75000381,261.75,5.452527,-5.2254086
78,48.75000381,261.75,5.9758434,-4.345089
84,48.75000381,261.75,5.044591,-3.8023462
90,48.75000381,261.75,6.123476,-2.4538221
96,48.75000381,261.75,6.2218466,-1.2034874
102,48.75000381,261.75,7.1487713,-0.31360245
108,48.75000381,261.75,7.8384943,0.7202692
114,48.75000381,261.75,8.375778,2.878617
120,48.75000381,261.75,8.17141,4.219262
126,48.75000381,261.75,5.6718845,-6.7683096
132,48.75000381,261.75,6.341918,-2.6974916
138,48.75000381,261.75,6.290655,-2.5464296
144,48.75000381,261.75,4.0729294,-1.8859367
150,48.75000381,261.75,3.846609,-2.5239267
156,48.75000381,261.75,3.6178293,-3.7056694
162,48.75000381,261.75,4.177454,-1.9365416
168,48.75000381,261.75,5.9693327,0.4183693
174,48.75000381,261.75,8.530863,-0.7504797
180,48.75000381,261.75,8.743521,-2.6622229
186,48.75000381,261.75,4.670454,-5.6179857
192,48.75000381,261.75,1.8299481,-6.721052
198,48.75000381,261.75,1.230261,-6.40555
204,48.75000381,261.75,0.9324085,-3.2409258
210,48.75000381,261.75,0.64468396,-1.2497673
216,48.75000381,261.75,-0.9469795,-2.102377
222,48.75000381,261.75,0.76841486,-4.718458
228,48.75000381,261.75,2.6900735,-2.954668
234,48.75000381,261.75,2.6389017,1.1539354
240,48.75000381,261.75,2.1517925,3.096109
246,48.75000381,261.75,1.2966776,4.2031546
252,48.75000381,261.75,-0.6275797,4.500949
258,48.75000381,261.75,-1.1452026,3.050418
264,48.75000381,261.75,-2.2016993,0.13534069
270,48.75000381,261.75,-1.1096439,-1.7164583
276,48.75000381,261.75,0.5366869,-2.5575523
282,48.75000381,261.75,-0.15226173,-2.7154236
288,48.75000381,261.75,2.265582,-2.8705893
294,48.75000381,261.75,2.7299397,-1.3802834
300,48.75000381,261.75,3.9668865,-1.7930002
306,48.75000381,261.75,4.684535,-3.3315744
