time,lat,lon,U,V
0,8,293,-3.1934652,-1.2822361
6,8,293,-3.755292,-1.8943539
12,8,293,-4.1698227,-1.7490435
18,8,293,-4.77427,-2.2896872
24,8,293,-2.7149954,-0.53314877
30,8,293,-3.350586,-1.5420036
36,8,293,-4.1247444,-2.3082352
42,8,293,-4.0913134,-1.4170609
48,8,293,-2.373414,-1.071804
54,8,293,-2.8250065,-1.4214096
60,8,293,-4.2204084,-2.5577602
66,8,293,-3.9338875,-2.5582886
72,8,293,-2.5578527,-2.1610622
78,8,293,-2.3448582,-3.0909681
84,8,293,-4.0140743,-3.275113
90,8,293,-4.676546,-2.4293299
96,8,293,-2.6801863,-2.1071062
102,8,293,-2.4057503,-2.4566422
108,8,293,-3.0235596,-3.380021
114,8,293,-2.8156967,-2.3604584
120,8,293,-1.5479546,-1.1165504
126,8,293,-1.7985754,-1.5546255
132,8,293,-2.8419275,-1.4772539
138,8,293,-2.9923983,-1.712616
144,8,293,-1.9181662,-0.6449423
150,8,293,-1.711523,-1.5405197
156,8,293,-3.2019758,-1.748272
162,8,293,-2.85577,-1.1940622
168,8,293,-1.9336681,-0.8363819
174,8,293,-2.7143393,-1.712266
180,8,293,-3.699522,-2.1310396
186,8,293,-2.0211258,-1.3212786
192,8,293,-1.7625647,-1.5376825
198,8,293,-2.161687,-1.8208838
204,8,293,-4.1579065,-2.5871382
210,8,293,-2.2999458,-1.4614058
216,8,293,-1.8775558,-0.78997517
222,8,293,-1.8110819,-1.877594
228,8,293,-4.1202497,-2.4289246
234,8,293,-3.7071476,-1.4756832
240,8,293,-2.5273247,-0.9122515
246,8,293,-2.6361828,-2.4224052
252,8,293,-4.5828047,-2.5346975
258,8,293,-4.348316,-1.07236
264,8,293,-3.3246899,-0.8389673
270,8,293,-3.5397635,-1.2663527
276,8,293,-4.4612083,-2.0531216
282,8,293,-4.248063,-1.3434162
288,8,293,-3.5272636,-0.78479385
294,8,293,-3.4737225,-1.1283731
300,8,293,-4.4908524,-2.499485
306,8,293,-4.8365574,-1.8043289
312,8,293,-3.6863184,-1.3178883
318,8,293,-3.4748554,-0.84893894
324,8,293,-5.1187925,-1.987751
330,8,293,-5.362056,-2.2503757
336,8,293,-2.966486,-0.9756794
342,8,293,-2.6157808,-0.8145403
348,8,293,-5.080611,-2.0852385
354,8,293,-5.587756,-1.4939957
360,8,293,-3.8923721,-1.5943851
366,8,293,-3.7787962,-1.7399464
372,8,293,-4.4748077,-1.8907156
378,8,293,-4.82092,-2.11582
384,8,293,-2.945531,-1.4770889
390,8,293,-2.5390396,-1.2722149
396,8,293,-3.507701,-2.740922
402,8,293,-3.7429066,-1.7946787
408,8,293,-2.7834053,-1.8520641
414,8,293,-3.0516682,-1.8127403
420,8,293,-4.3766356,-2.1021872
426,8,293,-4.515443,-1.5278072
432,8,293,-2.6501827,-1.595027
438,8,293,-2.9641256,-1.6525116
444,8,293,-3.713048,-2.9433928
450,8,293,-3.6992092,-1.8697939
456,8,293,-2.751237,-1.107213
462,8,293,-3.1757803,-1.396863
468,8,293,-4.469939,-2.5754538
474,8,293,-4.5264187,-0.07085526
480,8,293,-2.8364305,-0.72282887
486,8,293,-3.8327093,-0.6380216
492,8,293,-5.4537344,-1.4427404
498,8,293,-3.5222998,0.48933452
504,8,293,-2.190175,-1.3939018
510,8,293,-2.8339558,-0.9733121
516,8,293,-4.480733,-2.2781076
522,8,293,-2.713954,-0.84886456
528,8,293,-1.9892645,-1.0147791
534,8,293,-2.7554932,-0.9640942
540,8,293,-5.155157,-1.6869497
546,8,293,-4.385762,-1.5283585
552,8,293,-2.5215464,-1.7103758
558,8,293,-3.7233868,-1.8922329
564,8,293,-5.4019375,-1.5146656
570,8,293,-5.675789,-1.035244
576,8,293,-3.7631836,-1.5048752
582,8,293,-3.9098463,-1.2869759
588,8,293,-5.028863,-1.7263136
594,8,293,-4.453232,-0.6618632
600,8,293,-2.5377655,0.7056735
606,8,293,-2.5516872,0.6673965
612,8,293,-4.063161,-0.73722553
618,8,293,-3.1119633,0.05799315
624,8,293,0.3180151,1.7547439
630,8,293,0.55317974,1.589493
636,8,293,-0.89618206,-0.16417783
642,8,293,-3.349266,-1.4868698
648,8,293,-2.6657848,-0.5488308
654,8,293,-2.7912636,-0.72671425
660,8,293,-3.7233696,-1.4634933
666,8,293,-4.333647,-2.4097738
672,8,293,-3.3481493,-1.2985907
678,8,293,-3.0730095,-0.88085765
684,8,293,-3.941184,-1.3551693
690,8,293,-2.9850807,-1.355977
696,8,293,-1.9365625,-1.3343306
702,8,293,-3.047824,-1.7043743
708,8,293,-3.9706087,-2.715209
714,8,293,-4.044428,-2.0762663
720,8,293,-2.6088257,-1.1694937
726,8,293,-3.5648575,-1.7936649
732,8,293,-4.3174314,-2.0893908
738,8,293,-4.334545,-1.8206978
744,8,293,-3.2498913,-1.5572329
750,8,293,-3.4413958,-1.1854973
756,8,293,-4.412101,-2.1349525
762,8,293,-4.3689594,-1.8737373
768,8,293,-3.9572945,-1.7248592
774,8,293,-3.0326738,-1.3519812
780,8,293,-4.9862976,-2.320034
786,8,293,-4.5349865,-2.1613617
792,8,293,-3.6222658,-1.5007524
798,8,293,-3.8256016,-1.3622808
804,8,293,-5.3399687,-2.2570543
810,8,293,-6.5091715,-1.7564392
816,8,293,-4.8569775,-1.9474754
822,8,293,-4.7345963,-1.9183683
828,8,293,-5.633688,-2.0150843
834,8,293,-5.828846,-1.7004118
840,8,293,-4.35666,-2.0242434
846,8,293,-4.931389,-2.150817
852,8,293,-5.413994,-2.251668
858,8,293,-5.804946,-1.6991568
864,8,293,-4.0929337,-1.5826645
870,8,293,-3.5186682,-1.4622717
876,8,293,-5.604149,-2.889309
882,8,293,-6.1258745,-1.7605772
888,8,293,-4.15617,-1.477335
894,8,293,-4.06598,-0.93500805
900,8,293,-5.642644,-2.4490576
906,8,293,-5.3657494,-1.437335
912,8,293,-4.005501,-1.7592134
918,8,293,-5.302947,-1.9192219
924,8,293,-6.1141586,-1.9941368
930,8,293,-5.781518,-1.6877966
936,8,293,-3.6585627,-1.7811918
942,8,293,-4.659294,-2.1864758
948,8,293,-5.7338295,-2.0511284
954,8,293,-4.1785536,-0.7072247
960,8,293,-2.552308,-0.5679846
966,8,293,-4.4954243,-1.3013105
972,8,293,-5.7018824,-1.6396093
978,8,293,-4.650939,-1.0922041
984,8,293,-3.26785,-1.1526451
990,8,293,-3.5492258,-1.6448679
996,8,293,-5.1859827,-1.64995
1002,8,293,-4.182275,-1.5833158
1008,8,293,-3.2804203,-1.4402828
1014,8,293,-3.0336218,-1.503375
1020,8,293,-4.439746,-2.482503
1026,8,293,-4.8420725,-2.1509647
1032,8,293,-4.0179625,-1.384285
1038,8,293,-4.4596424,-1.6205845
1044,8,293,-5.6105814,-2.1207466
1050,8,293,-4.572942,-0.8594947
1056,8,293,-3.14334,-1.5248775
1062,8,293,-3.694971,-1.43684
1068,8,293,-4.0791225,-2.456668
1074,8,293,-3.5928955,-1.4778233
1080,8,293,-3.0389109,-0.86273235
1086,8,293,-3.7398643,-2.0781374
1092,8,293,-5.294256,-2.4550905
1098,8,293,-5.6531143,-1.8999567
1104,8,293,-3.6848135,-2.0139685
1110,8,293,-3.7750483,-3.0501976
1116,8,293,-5.470892,-3.2342415
1122,8,293,-5.542053,-2.841467
1128,8,293,-3.4771032,-1.5462456
1134,8,293,-3.1079044,-2.4746752
1140,8,293,-5.072277,-2.6761322
1146,8,293,-4.507745,-1.0091372
1152,8,293,-3.1615543,-1.6156988
1158,8,293,-4.6447964,-2.2328148
1164,8,293,-6.275074,-2.215084
1170,8,293,-6.337428,-1.3238668
1176,8,293,-4.1411486,-1.2525063
1182,8,293,-4.774104,-3.1001434
1188,8,293,-6.156146,-2.5194511
1194,8,293,-5.847988,-1.7192678
1200,8,293,-3.6152096,-1.5011368
1206,8,293,-3.4863977,-2.1286402
1212,8,293,-5.8517885,-1.8406448
1218,8,293,-5.0270863,-1.469801
1224,8,293,-3.601447,-1.6926689
1230,8,293,-5.2799873,-2.251566
1236,8,293,-6.1696415,-2.365921
1242,8,293,-6.079813,-2.588029
1248,8,293,-4.0737896,-1.7734671
1254,8,293,-4.840436,-2.5816984
1260,8,293,-5.560872,-2.5477314
1266,8,293,-5.449869,-2.1124125
1272,8,293,-3.4878893,-1.7745285
1278,8,293,-3.8687649,-3.8459082
1284,8,293,-5.24679,-2.8800468
1290,8,293,-4.83132,-2.065467
1296,8,293,-2.7501812,-1.5567102
1302,8,293,-2.9234,-3.5552397
1308,8,293,-4.5848455,-3.0435085
1314,8,293,-3.3130608,-0.89250183
1320,8,293,-2.560958,-1.3124504
1326,8,293,-2.9226303,-3.2330933
1332,8,293,-4.0808773,-3.0821962
1338,8,293,-3.6589613,-1.7078867
1344,8,293,-2.9731188,-1.3432531
1350,8,293,-3.0008821,-3.7893724
1356,8,293,-4.604039,-2.9357738
1362,8,293,-3.7346516,-1.591999
1368,8,293,-2.2659369,-1.5153656
1374,8,293,-3.903079,-3.0961351
1380,8,293,-5.3654194,-2.3457422
1386,8,293,-4.05632,-1.9962473
1392,8,293,-2.0556755,-1.4085121
1398,8,293,-2.7905817,-2.591591
1404,8,293,-4.655856,-2.5433416
1410,8,293,-3.484867,-1.7556801
1416,8,293,-1.5917578,-0.85576534
1422,8,293,-2.5693827,-2.1444855
1428,8,293,-4.5265484,-2.2460089
1434,8,293,-3.4616728,-0.5193424
1440,8,293,-3.4003248,-1.4563951
1446,8,293,-4.9772854,-0.78559273
1452,8,293,-4.4458084,-1.3793602
1458,8,293,-3.467269,-0.45206642
1464,8,293,-3.306385,-0.00891763
