USAF,  NCDC, Date,    HrMn,I, Type, QCP,Dir,Q,I,  Spd,Q,  
411945,99999,20100518,0500,4,FM-15,    ,999,9,V,  1.0,1,
411945,99999,20100518,0600,4,FM-15,    ,999,9,V,  1.0,1,
411945,99999,20100518,0700,4,FM-15,    ,330,1,N,  2.1,1,
411945,99999,20100527,0900,4,FM-15,    ,190,1,N,  5.1,1,
411945,99999,20100614,0400,4,FM-15,    ,170,1,N,  7.2,1,
411945,99999,20100614,0500,4,FM-15,    ,160,1,N,  6.2,1,
411945,99999,20100614,0600,4,FM-15,    ,170,1,N,  5.1,1,
411945,99999,20100614,0700,4,FM-15,    ,180,1,N,  2.6,1,
411945,99999,20100614,0800,4,FM-15,    ,999,9,V,  1.5,1,
411945,99999,20100614,1100,4,FM-15,    ,310,1,N,  7.2,1,
411945,99999,20100614,1200,4,FM-15,    ,340,1,N,  7.7,1,
411945,99999,20100614,1300,4,FM-15,    ,330,1,N,  8.2,1,
411945,99999,20100614,1400,4,FM-15,    ,320,1,N,  6.2,1,
411945,99999,20100614,1500,4,FM-15,    ,320,1,N,  2.6,1,
411945,99999,20100614,1700,4,FM-15,    ,340,1,N,  2.6,1,
411945,99999,20100614,1800,4,FM-15,    ,360,1,N,  3.1,1,
411945,99999,20100614,1900,4,FM-15,    ,090,1,N,  2.6,1,
411945,99999,20100614,2000,4,FM-15,    ,100,1,N,  3.6,1,
411945,99999,20100614,2200,4,FM-15,    ,110,1,N,  2.1,1,
411945,99999,20100614,2300,4,FM-15,    ,120,1,N,  2.1,1,
411945,99999,20100615,0000,4,FM-15,    ,140,1,N,  1.0,1,
411945,99999,20100615,0100,4,FM-15,    ,150,1,N,  2.1,1,
411945,99999,20100615,0200,4,FM-15,    ,130,1,N,  0.5,1,
411945,99999,20100615,0400,4,FM-15,    ,150,1,N,  2.6,1,
411945,99999,20100615,0500,4,FM-15,    ,160,1,N,  6.2,1,
411945,99999,20100615,0600,4,FM-15,    ,160,1,N,  4.1,1,
411945,99999,20100615,0700,4,FM-15,    ,170,1,N,  3.1,1,
411945,99999,20100615,0800,4,FM-15,    ,999,9,V,  2.1,1,
411945,99999,20100615,0900,4,FM-15,    ,999,9,V,  1.0,1,
411945,99999,20100615,1000,4,FM-15,    ,340,1,N,  8.2,1,
411945,99999,20100615,1100,4,FM-15,    ,350,1,N,  8.2,1,
411945,99999,20100615,1200,4,FM-15,    ,360,1,N,  7.7,1,
411945,99999,20100615,1300,4,FM-15,    ,010,1,N,  7.7,1,
411945,99999,20100615,1400,4,FM-15,    ,010,1,N,  6.7,1,
411945,99999,20100615,1500,4,FM-15,    ,010,1,N,  5.7,1,
411945,99999,20100615,1600,4,FM-15,    ,040,1,N,  3.6,1,
411945,99999,20100615,1700,4,FM-15,    ,100,1,N,  3.6,1,
411945,99999,20100615,1900,4,FM-15,    ,130,1,N,  5.1,1,
411945,99999,20100615,2000,4,FM-15,    ,150,1,N,  4.6,1,
411945,99999,20100615,2100,4,FM-15,    ,140,1,N,  3.1,1,
411945,99999,20100615,2200,4,FM-15,    ,999,9,V,  1.0,1,
411945,99999,20100615,2300,4,FM-15,    ,020,1,N,  3.1,1,
411945,99999,20100616,0000,4,FM-15,    ,090,1,N,  1.5,1,
411945,99999,20100616,0100,4,FM-15,    ,160,1,N,  1.5,1,
