time,speed,dir
2006-01-01 00:00:00,9.1,250.0
2006-01-01 01:00:00,7.7,239.0
2006-01-01 02:00:00,2.8,244.0
2006-01-01 03:00:00,4.4,230.0
2006-01-01 04:00:00,5.1,258.0
2006-01-01 05:00:00,8.6,250.0
2006-01-01 06:00:00,5.3,199.0
2006-01-01 07:00:00,3.9,253.0
2006-01-01 08:00:00,2.5,275.0
2006-01-01 09:00:00,2.5,295.0
2006-01-01 10:00:00,4.9,258.0
2006-01-01 11:00:00,11.0,284.0
2006-01-01 12:00:00,12.1,275.0
2006-01-01 13:00:00,13.3,309.0
2006-01-01 14:00:00,9.1,255.0
2006-01-01 15:00:00,6.0,264.0
2006-01-01 16:00:00,5.8,315.0
2006-01-01 17:00:00,7.9,267.0
2006-01-01 18:00:00,5.8,213.0
2006-01-01 19:00:00,2.3,213.0
2006-01-01 20:00:00,1.8,244.0
2006-01-01 21:00:00,2.1,84.0
2006-01-01 22:00:00,3.7,132.0
2006-01-01 23:00:00,3.7,182.0
2006-01-02 00:00:00,3.9,196.0
2006-01-02 01:00:00,2.8,219.0
2006-01-02 02:00:00,1.8,233.0
2006-01-02 03:00:00,1.4,36.0
2006-01-02 04:00:00,3.2,47.0
2006-01-02 05:00:00,5.8,14.0
2006-01-02 06:00:00,5.8,22.0
2006-01-02 07:00:00,6.5,8.0
2006-01-02 08:00:00,5.8,36.0
2006-01-02 09:00:00,5.6,39.0
2006-01-02 10:00:00,5.1,36.0
2006-01-02 11:00:00,5.3,33.0
2006-01-02 12:00:00,6.3,22.0
2006-01-02 13:00:00,2.5,39.0
2006-01-02 14:00:00,3.5,25.0
2006-01-02 15:00:00,5.3,357.0
2006-01-02 16:00:00,7.9,0.0
2006-01-02 17:00:00,5.8,2.0
2006-01-02 18:00:00,3.5,334.0
2006-01-02 19:00:00,3.5,312.0
2006-01-02 20:00:00,3.9,281.0
2006-01-02 21:00:00,6.0,270.0
2006-01-02 22:00:00,3.5,255.0
2006-01-02 23:00:00,5.1,264.0
2006-01-03 00:00:00,1.4,250.0
2006-01-03 01:00:00,4.2,261.0
2006-01-03 02:00:00,1.6,264.0
2006-01-03 03:00:00,1.8,264.0
2006-01-03 04:00:00,3.0,272.0
2006-01-03 05:00:00,3.7,241.0
2006-01-03 06:00:00,2.5,247.0
2006-01-03 07:00:00,3.2,272.0
2006-01-03 08:00:00,2.5,284.0
2006-01-03 09:00:00,2.3,309.0
2006-01-03 10:00:00,2.3,317.0
2006-01-03 11:00:00,1.4,298.0
2006-01-03 12:00:00,0.9,0.0
2006-01-03 13:00:00,4.6,5.0
2006-01-03 14:00:00,1.1,351.0
2006-01-03 15:00:00,1.6,30.0
2006-01-03 16:00:00,1.1,326.0
2006-01-03 17:00:00,0.7,22.0
2006-01-03 18:00:00,2.3,33.0
2006-01-03 19:00:00,1.4,50.0
2006-01-03 20:00:00,0.9,90.0
2006-01-03 21:00:00,3.9,154.0
2006-01-03 22:00:00,2.1,135.0
2006-01-03 23:00:00,1.6,149.0
2006-01-04 00:00:00,3.0,132.0
2006-01-04 01:00:00,3.2,101.0
2006-01-04 02:00:00,2.5,137.0
2006-01-04 03:00:00,3.7,132.0
2006-01-04 04:00:00,4.2,98.0
2006-01-04 05:00:00,3.7,84.0
2006-01-04 06:00:00,2.8,101.0
2006-01-04 07:00:00,1.8,78.0
2006-01-04 08:00:00,3.9,8.0
2006-01-04 09:00:00,3.2,16.0
2006-01-04 10:00:00,5.3,14.0
2006-01-04 11:00:00,6.7,11.0
2006-01-04 12:00:00,5.3,14.0
2006-01-04 13:00:00,5.8,19.0
2006-01-04 14:00:00,4.6,14.0
2006-01-04 15:00:00,4.9,19.0
2006-01-04 16:00:00,4.4,42.0
2006-01-04 17:00:00,5.3,56.0
2006-01-04 18:00:00,6.3,64.0
2006-01-04 19:00:00,6.3,84.0
2006-01-04 20:00:00,6.0,73.0
2006-01-04 21:00:00,5.3,78.0
2006-01-04 22:00:00,4.2,73.0
2006-01-04 23:00:00,3.7,95.0
2006-01-05 00:00:00,3.0,106.0
2006-01-05 01:00:00,2.5,104.0
2006-01-05 02:00:00,2.3,118.0
2006-01-05 03:00:00,2.5,106.0
2006-01-05 04:00:00,2.8,109.0
